Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp,HermiT,JFact,Konclude,Openllet,Pellet,KoncludeCLI
ore_ont_10320.owl,323,103,1195,803,457,315,31,22,48,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,1.3451,0.1083,0.0153,0.0767,OE,0.0478
ore_ont_6983.owl,323,103,1196,804,458,315,31,22,48,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.004,1.375,0.1131,0.0159,0.0873,OE,0.048
ore_ont_6696.owl,881,8,1332,450,442,8,0,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_3892.owl,170,89,1165,885,563,287,35,37,74,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_1461.owl,176,23,1101,782,759,23,0,62,83,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_13657.owl,751,0,1685,910,883,0,27,0,24,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_11016.owl,68,109,757,650,227,415,8,10,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0366,0.2334,IE,0.0107,0.0945,0.0612,0.0477
ore_ont_5359.owl,360,18,1255,884,855,20,9,0,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_8141.owl,360,18,1255,884,855,20,9,0,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_15682.owl,178,138,896,677,347,321,9,7,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,3.7205,2.3898,OE,2.0151,OE,0.144
ore_ont_8021.owl,606,0,1454,847,846,0,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_11577.owl,268,197,1468,1111,914,197,0,0,89,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0019,0.0646,0.1249,0.0201,0.0895,0.0574,0.0428
ore_ont_14321.owl,180,3,1538,1023,811,10,202,127,209,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_14272.owl,762,0,1745,932,885,0,47,6,46,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_8948.owl,342,103,1284,851,480,315,56,22,70,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0046,1.4477,0.1130999999999999,0.0219,0.0835,OE,0.056
ore_ont_16191.owl,362,103,1282,847,501,315,31,22,52,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0042,1.4682,0.1064,0.0166,0.0867,OE,0.0494
ore_ont_1728.owl,819,0,1862,1042,1042,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_13383.owl,369,103,1305,864,518,315,31,22,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_16115.owl,677,157,1507,830,673,157,0,0,0,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0019,0.0962,0.0714,0.0093,0.0496,0.0378,0.0413
ore_ont_5564.owl,371,103,1313,870,524,315,31,22,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0048,1.5034,0.1279,0.0185,0.0721,OE,0.0503
ore_ont_8355.owl,68,189,1015,864,234,562,68,0,83,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0032,0.1125,0.0817,0.0511,0.0764,0.0698,0.0767
ore_ont_11554.owl,96,0,1183,902,606,0,296,0,186,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_11694.owl,203,282,1233,987,205,756,26,0,45,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0028,0.4529,0.0970999999999999,0.0132,0.045,0.0431999999999999,0.0545
ore_ont_155.owl,379,82,1243,738,580,121,37,0,128,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0066,0.2143,0.1412,0.0255,0.1334,0.1066,0.056
ore_ont_2901.owl,700,2,1686,969,959,2,8,0,17,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_6024.owl,82,0,696,354,354,0,0,7,253,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_3726.owl,179,222,1139,925,206,704,11,16,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.003,OE,0.0957,OE,0.038,OE,0.0273
ore_ont_7278.owl,179,222,1139,925,206,704,11,16,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.003,OE,0.1032999999999999,0.0106,0.0447,OE,0.027
ore_ont_3349.owl,747,0,1732,970,964,0,6,0,17,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_4898.owl,750,0,1280,501,501,0,0,0,29,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_2488.owl,434,159,1402,899,534,315,50,0,71,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0072,1.0929,0.1535,0.0166,0.1221,0.0922,0.051
ore_ont_1756.owl,606,0,1450,843,843,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_4032.owl,401,103,1387,911,565,315,31,22,54,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_3566.owl,170,185,913,722,169,523,30,1,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0028,0.469,0.075,0.009,0.0569,OE,0.0382
ore_ont_6999.owl,86,158,1172,921,763,158,0,74,92,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_1958.owl,652,179,1692,1022,818,189,15,1,19,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.064,1.5455,0.6705,0.1006,0.5483,0.3877,0.1384
ore_ont_6967.owl,289,1,857,521,490,1,30,21,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_4671.owl,600,0,1445,843,842,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_10230.owl,24,162,907,819,233,586,0,38,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0032,0.0557,0.1449,0.0203,0.0555,OE,0.0614
ore_ont_15753.owl,55,41,543,430,195,140,0,40,19,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0012,OE,0.0701,0.0079,TO,OE,0.0216
ore_ont_10908.owl,693,18,1886,1110,980,20,110,0,84,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_13898.owl,434,103,1440,934,588,315,31,22,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0045,1.609,0.114,0.0173,0.0864,OE,0.0517
ore_ont_6857.owl,422,103,1456,944,587,315,42,27,64,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0047,1.6816,0.1425,0.0234,0.1143,OE,0.0577
ore_ont_9864.owl,805,42,1949,1093,962,84,47,6,46,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_2720.owl,901,0,1950,1049,1049,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_12932.owl,270,1224,1745,1475,251,1224,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0039,0.0755,0.0989999999999999,0.0072,0.0491,0.0363,0.0575
ore_ont_12831.owl,809,0,1835,1027,1027,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_2195.owl,19,0,1567,1118,1118,0,0,88,342,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_15933.owl,814,0,1391,545,545,0,0,0,32,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_4983.owl,485,159,1518,961,595,315,51,0,74,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0073,1.1817,0.1653,0.0196,0.1221,0.109,0.0531
ore_ont_7220.owl,1000,0,2176,1175,1175,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_13954.owl,138,206,975,821,384,429,8,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.5909,21.5194,TO,0.2863,2.0999,OE,0.3485
ore_ont_3352.owl,1292,0,2587,1295,1295,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_3010.owl,138,206,1031,877,386,482,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,3.1201,19.9217,TO,0.3318,2.4769,OE,0.3822
ore_ont_8631.owl,880,18,2091,1145,1048,20,77,0,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_1931.owl,124,78,1048,828,534,281,13,22,75,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0035,0.0982,0.1163,0.033,0.119,OE,0.0643
ore_ont_16821.owl,458,0,1526,1033,1010,0,23,0,36,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_4827.owl,866,0,2046,1125,1074,0,51,6,50,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_9240.owl,904,0,1958,1023,1001,0,22,16,17,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_15413.owl,463,103,1589,1017,642,315,60,27,83,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.006,1.7944,0.1499,0.026,0.131,OE,0.0615
ore_ont_4074.owl,369,0,1137,766,766,0,0,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_3301.owl,424,124,1557,1036,601,378,57,22,76,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_5220.owl,504,0,2448,1944,516,1428,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_5324.owl,504,0,2448,1944,516,1428,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0051,0.0746,0.2085,0.0083,0.018,0.0091,0.0455
ore_ont_6278.owl,451,103,1587,1016,629,315,72,27,94,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0056,2.0457,0.144,0.0254,0.1564,OE,0.0602
ore_ont_4354.owl,452,103,1591,1019,632,315,72,27,94,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_15575.owl,480,103,1598,1026,669,315,42,27,66,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_2453.owl,130,414,983,801,291,510,0,0,54,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_10807.owl,820,66,2103,1232,1012,173,47,6,46,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_12987.owl,828,0,2076,1247,1246,0,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_766.owl,735,18,1524,780,744,36,0,0,10,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_15516.owl,85,171,970,857,110,733,12,6,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_7828.owl,832,96,2129,1246,1018,181,47,6,46,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_14981.owl,47,651,1509,1436,107,1315,14,6,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0054,1.3276,0.1812,0.0098999999999999,0.0407,0.0435,0.0643
ore_ont_5834.owl,138,206,1043,889,386,494,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.7594,19.9054,TO,0.2947,3.8512,OE,0.3442
ore_ont_850.owl,138,206,1043,889,386,494,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.7753,20.4261,TO,0.2928,2.5278,OE,0.3419
ore_ont_2826.owl,138,206,1043,889,386,494,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.7621,20.3299,TO,0.2949,2.6131,OE,0.3534
ore_ont_10702.owl,138,206,1043,889,386,494,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.4906,19.1647,77.7046,0.2949,3.335,OE,0.3685
ore_ont_3156.owl,138,206,1043,889,386,494,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.5062,20.0692,30.6093,0.2881,3.206,OE,0.3579
ore_ont_8042.owl,138,206,1043,889,386,494,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.7521,20.3452,TO,0.2955,3.3656,OE,0.354
ore_ont_14334.owl,139,206,1045,889,386,494,9,1,17,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_16312.owl,1192,0,2540,1343,1339,0,4,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_8429.owl,852,67,2140,1237,1054,136,47,6,46,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0086,0.1951999999999999,0.2192,0.0258,0.1281,0.1109,0.064
ore_ont_1406.owl,1192,0,2540,1343,1339,0,4,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_4469.owl,131,89,1256,960,736,107,117,26,140,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0053,2.3065,0.121,0.0559,0.2938,0.1969,0.0848
ore_ont_12084.owl,484,103,1659,1084,727,315,42,27,65,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0057,1.7219,0.15,0.02,0.1347,OE,0.0564
ore_ont_6298.owl,121,0,1751,1263,862,0,401,8,360,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_2338.owl,385,0,1255,866,866,0,0,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_16425.owl,368,245,1304,936,361,575,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0029,0.0452,0.1134,0.0079,0.0498,0.032,0.0379
ore_ont_8280.owl,85,171,978,864,111,733,12,6,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,OE,IE,IE,IE,IE,0.0286
ore_ont_4400.owl,575,602,1909,1334,732,602,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0028,0.0886,0.1461,0.0096,0.0343,0.0326,0.0441
ore_ont_5539.owl,85,171,981,865,114,733,12,6,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,OE,IE,IE,IE,IE,0.0286
ore_ont_15397.owl,607,0,2001,1392,1392,0,0,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_2669.owl,90,171,995,875,122,733,12,6,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_15685.owl,760,18,1574,805,769,36,0,0,10,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_12433.owl,280,0,1135,815,776,0,39,0,40,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_10906.owl,86,171,988,869,113,733,12,6,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,OE,IE,IE,IE,IE,0.0283
ore_ont_1397.owl,137,206,1037,885,383,494,8,1,15,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.2399,19.0152,TO,0.2903,4.196,OE,0.3566
ore_ont_8786.owl,137,206,1039,886,383,494,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.2398,20.4464,TO,0.2784999999999999,2.9795,OE,0.3535
ore_ont_3978.owl,962,0,1672,678,663,3,12,0,32,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_15985.owl,1188,0,2563,1374,1374,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_237.owl,87,171,987,869,115,733,12,6,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,OE,IE,IE,IE,IE,0.0295
ore_ont_10133.owl,634,0,1586,951,951,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_11009.owl,889,0,1524,602,602,0,0,0,33,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_11719.owl,1070,0,2372,1296,1296,0,0,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_457.owl,889,0,1525,603,603,0,0,0,33,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_10776.owl,583,0,2370,1786,802,983,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_4261.owl,1070,0,2372,1296,1296,0,0,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_12764.owl,809,0,2085,1274,1274,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_5206.owl,85,171,989,871,112,733,12,6,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,OE,IE,IE,IE,IE,0.0286
ore_ont_8396.owl,1025,0,1631,581,581,0,0,0,25,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_15407.owl,891,0,2109,1209,1209,0,0,0,9,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_13880.owl,88,171,1001,882,129,733,12,6,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,OE,IE,IE,IE,IE,OE
ore_ont_16371.owl,805,83,2307,1440,983,392,65,6,57,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0093,0.3527,IE,0.0312,0.345,0.2925,0.0764
ore_ont_8250.owl,272,62,1643,1198,1090,76,30,102,74,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_10283.owl,1470,0,2929,1459,1459,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_3910.owl,483,214,1631,1126,773,337,16,0,24,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_8187.owl,1314,0,2808,1490,1488,0,2,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_1478.owl,121,12,1547,1187,753,51,383,1,239,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_16157.owl,1134,0,2458,1313,1310,0,3,0,11,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_2011.owl,1390,0,2856,1466,1466,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_10419.owl,1396,0,2866,1470,1470,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_8030.owl,635,103,1989,1228,844,315,69,27,100,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_12955.owl,146,408,1719,1311,370,869,72,79,182,0,OWL2_DL,OWL2_DL,,,,,,,
ore_ont_13646.owl,751,154,2128,1261,950,211,100,0,118,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0104,1.7032,0.2128999999999999,0.0293,0.2096,0.1985,0.0687
ore_ont_11477.owl,202,263,1347,1121,561,551,9,1,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,3.0869,50.5902,69.9654,0.5103,3.9816,OE,0.5854
ore_ont_1473.owl,1415,0,3091,1676,1676,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_6020.owl,227,603,1566,1233,457,776,0,6,101,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_13912.owl,32,121,1574,1486,170,1312,4,41,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_10517.owl,905,153,2619,1653,1212,374,67,6,56,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,8.7903,0.8765000000000001,0.1716,0.3627,0.2575,0.2333
ore_ont_3262.owl,156,12,1651,1252,812,51,389,1,243,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_2378.owl,1163,0,2849,1684,1684,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_13112.owl,818,809,2446,1628,819,809,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.004,0.1411,0.1107,0.0114,0.061,0.0475,0.0629
ore_ont_5964.owl,659,193,2170,1424,1129,214,81,8,80,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_16255.owl,731,159,2184,1337,922,315,100,0,118,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.01,1.553,0.2208999999999999,0.0281,0.2186,0.1653,0.0688
ore_ont_13404.owl,238,114,1311,907,730,177,0,0,167,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,0.391,0.1109999999999999,0.0414,0.1364,0.1182,0.0731
ore_ont_12009.owl,1153,0,2333,1165,1153,0,12,0,15,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_8387.owl,128,515,1641,1505,197,1304,4,3,6,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.3683,0.4737,13.6647,0.0385,2.2434,1.461,0.1277
ore_ont_5764.owl,897,155,2650,1691,1158,470,63,6,57,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0354,2.045,0.9924,0.0827,0.5593,0.6494,0.1648
ore_ont_9857.owl,1494,0,2271,776,776,0,0,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_5940.owl,695,0,2314,1611,1610,0,1,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_7877.owl,272,0,1314,1009,1009,0,0,0,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_8399.owl,767,260,2249,1481,1192,289,0,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_10503.owl,47,67,1460,1323,464,842,17,55,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_8135.owl,709,0,2344,1627,1626,0,1,0,8,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_11274.owl,452,0,2070,1615,1615,0,0,0,4,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_9890.owl,628,180,2229,1548,1264,226,58,1,54,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_8050.owl,249,116,1370,948,769,179,0,0,174,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_9957.owl,1261,1,2976,1668,1519,87,62,5,42,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_6951.owl,48,262,1480,1338,379,959,0,54,41,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0053,0.6111,0.1624,0.0129,0.1302,OE,0.0685
ore_ont_12931.owl,1269,0,3254,1985,1985,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_3835.owl,816,44,2068,1251,1162,89,0,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_16372.owl,745,23,2461,1648,1465,111,72,4,66,0,OWL2_DL - OWL2_FULL,OWL2_DL,IE,IE,IE,IE,IE,IE,0.0581
ore_ont_12925.owl,660,103,2213,1462,1105,315,42,27,65,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_6149.owl,1122,0,3087,1896,1830,0,66,0,71,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_12270.owl,681,206,2266,1565,872,673,20,0,22,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0122,0.3697,0.2316,0.017,0.2379,0.1609,0.0731
ore_ont_3344.owl,631,0,2928,2296,947,1348,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0316,0.3494,0.7511,0.0101,0.0533,0.0433,0.0536
ore_ont_11014.owl,1444,0,3263,1816,1815,0,1,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_4961.owl,19,185,1576,1529,120,1395,14,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0032,0.5182,0.0761,0.0243999999999999,0.5123,0.3192,0.0692
ore_ont_1445.owl,87,0,1320,970,705,0,265,4,260,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_14684.owl,87,0,1320,970,705,0,265,4,260,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_11115.owl,923,629,2872,1891,1099,731,61,0,59,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0266,0.2327,0.5886,0.0208,0.1038,0.0899,0.0723
ore_ont_7584.owl,87,0,1335,983,715,0,268,4,262,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_4796.owl,200,39,2080,1582,959,169,454,4,295,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_1646.owl,100,0,1416,1082,707,0,375,0,235,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_8006.owl,824,124,2538,1587,1141,378,68,27,101,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_6939.owl,1831,0,3663,1832,1832,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_3231.owl,85,0,1315,967,699,0,268,4,260,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_8916.owl,2078,0,4231,2153,2153,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_14123.owl,1248,0,3107,1846,1846,0,0,0,13,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_11157.owl,510,4,2623,2065,2055,4,6,23,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
